date,action,name,rate,target
Nov-05-18,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Jan-03-19,Upgrade,BofA/Merrill,Underperform to Buy,
Jan-23-19,Upgrade,UBS,Neutral to Buy,
Jan-23-19,Upgrade,Piper Jaffray,Underweight to Neutral,
Feb-14-19,Upgrade,Raymond James,Mkt Perform to Outperform,$22
Feb-20-19,Downgrade,Mizuho,Buy to Neutral,$25 to $18
Mar-06-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,$17
Mar-07-19,Resumed,UBS,Buy,$22
Mar-20-19,Initiated,SunTrust,Hold,
May-30-19,Downgrade,BofA/Merrill,Buy to Underperform,
