date,action,name,rate,target
Oct-18-18,Resumed,Robert W. Baird,Outperform,
Oct-29-18,Upgrade,KeyBanc Capital Mkts,Sector Weight to Overweight,
Oct-29-18,Upgrade,Goldman,Neutral to Buy,
Feb-01-19,Reiterated,Monness Crespi & Hardt,Buy,$115 to $120
Mar-12-19,Reiterated,Needham,Buy,$130 to $135
Mar-27-19,Initiated,Mizuho,Neutral,
Apr-12-19,Initiated,BofA/Merrill,Buy,$155
Apr-17-19,Reiterated,Monness Crespi & Hardt,Buy,$120 to $137
Apr-26-19,Reiterated,Dougherty & Company  ,Buy,$115 to $140
May-23-19,Initiated,Cowen,Outperform,$140
