date,action,name,rate,target
Oct-19-18,Upgrade,Seaport Global Securities,Neutral to Buy,
Nov-29-18,Upgrade,Citigroup,Neutral to Buy,
Dec-13-18,Initiated,Wolfe Research,Outperform,$66
Jan-08-19,Upgrade,JP Morgan,Neutral to Overweight,
Jan-08-19,Downgrade,Bernstein,Outperform to Mkt Perform,
Jan-11-19,Initiated,Raymond James,Strong Buy,$72
Jan-18-19,Initiated,SunTrust,Buy,
Feb-26-19,Downgrade,UBS,Buy to Neutral,$68
Apr-01-19,Downgrade,Jefferies,Buy to Hold,$72 to $74
Apr-22-19,Downgrade,Seaport Global Securities,Buy to Neutral,
