date,action,name,rate,target
Oct-30-18,Upgrade,SunTrust,Hold to Buy,
Oct-30-18,Reiterated,B. Riley FBR,Buy,$97 to $105
Jan-09-19,Upgrade,KeyBanc Capital Mkts,Sector Weight to Overweight,
Jan-15-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Feb-13-19,Reiterated,RBC Capital Mkts,Sector Perform,$77 to $76
Feb-13-19,Reiterated,Piper Jaffray,Overweight,$84 to $85
Feb-13-19,Reiterated,KeyBanc Capital Markets,Overweight,$73 to $76
Feb-13-19,Reiterated,Credit Suisse,Neutral,$77 to $73
Feb-13-19,Reiterated,B. Riley FBR,Buy,$105 to $102
Mar-21-19,Initiated,Evercore ISI,In-line,$70
Apr-04-19,Reiterated,Tigress Financial,Strong Buy,
Apr-22-19,Initiated,Needham,Buy,
