date,title,source
Oct-24-18,"J. Alexanders Holdings, Inc. to Release Financial Results for the Third Quarter on Wednesday, November 7, 2018",Business Wire
Nov-07-18,J. Alexander's: 3Q Earnings Snapshot,Associated Press
Nov-07-18,"J. Alexanders Holdings, Inc. Reports Results For Third Quarter Ended September 30, 2018",Business Wire
Nov-14-18,Edited Transcript of JAX earnings conference call or presentation 8-Nov-18 4:00pm GMT,Thomson Reuters StreetEvents
Nov-15-18,Edited Transcript of JAX earnings conference call or presentation 8-Nov-18 4:00pm GMT,Thomson Reuters StreetEvents
Nov-20-18,"New Research Coverage Highlights Great Ajax, J.Jill, Houlihan Lokey, Fortis, J. Alexander's, and Steel Partners Holdings LP  Consolidated Revenues, Company Growth, and Expectations for 2018",GlobeNewswire
Nov-30-18,"J. Alexanders Holdings, Inc. Announces Termination of Consulting Agreement with Black Knight Advisory Services, LLC",Business Wire
Feb-25-19,"J. Alexanders Holdings, Inc. to Release Financial Results for the Fourth Quarter of 2018 on Monday, March 11, 2019",Business Wire
