date,action,name,rate,target
Nov-07-18,Reiterated,Monness Crespi & Hardt,Buy,$38 to $41
Nov-29-18,Initiated,Berenberg,Buy,$41
Jan-29-19,Upgrade,Raymond James,Outperform to Strong Buy,
Feb-08-19,Reiterated,Needham,Buy,$42 to $50
Feb-08-19,Reiterated,Monness Crespi & Hardt,Buy,$41 to $49
Mar-11-19,Upgrade,Macquarie,Neutral to Outperform,
Mar-27-19,Initiated,Mizuho,Buy,
Apr-04-19,Initiated,Robert W. Baird,Outperform,$58
Apr-29-19,Reiterated,Needham,Buy,$50 to $60
May-23-19,Initiated,Cowen,Outperform,$63
