date,action,name,rate,target
Nov-09-18,Initiated,B. Riley FBR,Neutral,$2.20
Jan-23-19,Downgrade,JP Morgan,Overweight to Neutral,
Mar-04-19,Upgrade,B. Riley FBR,Neutral to Buy,$22 to $25
