date,action,name,rate,target
Oct-18-18,Downgrade,Stephens,Overweight to Equal-Weight,
Jan-11-19,Initiated,Credit Suisse,Neutral,$18
Jan-15-19,Downgrade,SunTrust,Buy to Hold,
