date,action,name,rate,target
Oct-18-18,Resumed,Robert W. Baird,Neutral,
Oct-19-18,Initiated,Wedbush ,Outperform,$100
Nov-05-18,Upgrade,Dougherty & Company  ,Neutral to Buy,$85
Nov-05-18,Upgrade,Dougherty & Company  ,Neutral to Buy,
Jan-04-19,Downgrade,Goldman,Buy to Sell,
Jan-22-19,Downgrade,BMO Capital Markets,Outperform to Market Perform,$90 to $78
Feb-08-19,Upgrade,First Analysis Sec,Neutral to Outperform,$80 to $92
Mar-27-19,Initiated,Mizuho,Neutral,
May-03-19,Reiterated,Monness Crespi & Hardt,Buy,$95 to $97
May-03-19,Downgrade,Citigroup,Neutral to Sell,
