date,action,name,rate,target
Oct-29-18,Initiated,IFS Securities,Strong Buy,
Nov-30-18,Initiated,Cowen,Outperform,
Dec-06-18,Initiated,Stephens,Overweight,$177
Dec-20-18,Reiterated,Imperial Capital,Outperform,$170 to $140
Dec-20-18,Initiated,KeyBanc Capital Mkts,Overweight,
Jan-16-19,Initiated,Barclays,Overweight,$189
Jan-30-19,Initiated,Mizuho,Buy,$137
Mar-11-19,Resumed,JP Morgan,Overweight,$148
Apr-16-19,Reiterated,BofA/Merrill,Buy,$154 to $165
Jun-17-19,Resumed,Credit Suisse,Outperform,$135
