date,action,name,rate,target
Nov-06-18,Reiterated,BofA/Merrill,Buy,$2150 to $2300
Nov-19-18,Upgrade,Wells Fargo,Market Perform to Outperform,
Nov-29-18,Initiated,Telsey Advisory Group,Outperform,$2100
Jan-09-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Jan-09-19,Downgrade,Jefferies,Buy to Hold,
Feb-05-19,Upgrade,Deutsche Bank,Hold to Buy,$2150 to $2370
Feb-26-19,Reiterated,BofA/Merrill,Buy,$2300 to $2400
Feb-28-19,Reiterated,BofA/Merrill,Buy,$2400 to $2130
Feb-28-19,Downgrade,Piper Jaffray,Overweight to Neutral,$2100 to $1800
Feb-28-19,Downgrade,Atlantic Equities,Overweight to Neutral,
Mar-19-19,Downgrade,Telsey Advisory Group,Outperform to Market Perform,$2100 to $1800
Mar-22-19,Downgrade,Wedbush ,Outperform to Neutral,$2000 to $1850
