date,action,name,rate,target
Nov-12-18,Downgrade,Credit Suisse,Outperform to Neutral,
Nov-30-18,Initiated,Cowen,Outperform,
Dec-06-18,Initiated,Stephens,Equal-Weight,$23
Dec-14-18,Downgrade,Tudor Pickering,Buy to Hold,
Dec-20-18,Initiated,Macquarie,Outperform,
Dec-20-18,Initiated,KeyBanc Capital Mkts,Sector Weight,
Jan-04-19,Downgrade,BofA/Merrill,Buy to Neutral,
Jan-16-19,Downgrade,Barclays,Overweight to Underweight,$22 to $14
Mar-22-19,Downgrade,Johnson Rice,Buy to Accumulate,
Apr-30-19,Upgrade,Barclays,Underweight to Equal Weight,$10 to $13
May-20-19,Initiated,Wells Fargo,Market Perform,$12
