date,action,name,rate,target
Oct-19-18,Initiated,Wedbush ,Neutral,$270
Dec-14-18,Reiterated,Pivotal Research Group,Hold,$254 to $252
Dec-14-18,Reiterated,BMO Capital Markets,Outperform,$295 to $300
Jan-07-19,Upgrade,Pivotal Research Group,Hold to Buy,$262
Jan-09-19,Initiated,Atlantic Equities,Neutral,$250
Jan-17-19,Initiated,Stephens,Equal-Weight,
Feb-15-19,Downgrade,Cowen,Outperform to Market Perform,$280
Mar-15-19,Reiterated,Canaccord Genuity,Buy,$290 to $300
Mar-15-19,Downgrade,KeyBanc Capital Markets,Overweight to Sector Weight,
Apr-29-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,$282 to $340
Jun-19-19,Upgrade,Stephens,Equal-Weight to Overweight,$288 to $327
Jun-19-19,Reiterated,BofA/Merrill,Buy,$312 to $323
Jun-19-19,Reiterated,BMO Capital Markets,Outperform,$300 to $315
