date,action,name,rate,target
Oct-19-18,Resumed,Barclays,Overweight,
Nov-05-18,Resumed,Evercore ISI,Outperform,
Jan-24-19,Downgrade,Societe Generale,Hold to Sell,
Mar-15-19,Initiated,MoffettNathanson,Buy,$51
Mar-20-19,Initiated,BofA/Merrill,Buy,$52
Mar-21-19,Initiated,Credit Suisse,Outperform,$46
Mar-21-19,Initiated,Atlantic Equities,Overweight,$49
Mar-25-19,Initiated,Loop Capital,Hold,$42
Mar-25-19,Initiated,JP Morgan,Overweight,$46
Apr-09-19,Initiated,Citigroup,Neutral,$40
May-06-19,Initiated,Rosenblatt,Sell,$33
May-15-19,Initiated,Gabelli & Co,Buy,$57
