date,action,name,rate,target
Nov-08-18,Downgrade,Credit Suisse,Outperform to Neutral,
Nov-08-18,Downgrade,CLSA,Outperform to Underperform,
Nov-08-18,Downgrade,Citigroup,Buy to Neutral,
Dec-13-18,Resumed,Mizuho,Neutral,
Jan-14-19,Resumed,Bernstein,Mkt Perform,
Mar-05-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,$32 to $43
Mar-05-19,Upgrade,JP Morgan,Neutral to Overweight,
Mar-05-19,Upgrade,CLSA,Underperform to Buy,$31 to $42
Mar-05-19,Upgrade,Citigroup,Neutral to Buy,
Mar-27-19,Upgrade,Bernstein,Mkt Perform to Outperform,
May-03-19,Downgrade,Macquarie,Outperform to Neutral,
May-22-19,Reiterated,Barclays,Overweight,$48 to $45
May-23-19,Upgrade,Daiwa Securities,Underperform to Outperform,
