date,action,name,rate,target
Oct-30-18,Upgrade,Wedbush ,Neutral to Outperform,$55 to $75
Nov-08-18,Downgrade,Gordon Haskett,Hold to Reduce,
Nov-19-18,Upgrade,Gordon Haskett,Reduce to Hold,
Jan-08-19,Upgrade,Morgan Stanley,Underweight to Equal-Weight,
Jan-16-19,Downgrade,Telsey Advisory Group,Outperform to Market Perform,$72 to $56
Jan-16-19,Downgrade,JP Morgan,Neutral to Underweight,
Jan-16-19,Downgrade,Goldman,Buy to Neutral,
Jan-16-19,Downgrade,Atlantic Equities,Overweight to Neutral,
Jan-17-19,Reiterated,Wolfe Research,Peer Perform,$53 to $44
Mar-21-19,Downgrade,Gordon Haskett,Hold to Underperform,
Apr-10-19,Upgrade,KeyBanc Capital Markets,Sector Weight to Overweight,$55
May-09-19,Downgrade,Wedbush ,Outperform to Neutral,$65 to $40
