date,action,name,rate,target
Oct-17-18,Upgrade,Deutsche Bank,Hold to Buy,$40 to $47
Oct-26-18,Reiterated,Imperial Capital,Outperform,$45 to $47
Nov-12-18,Initiated,Goldman,Buy,$44
Nov-19-18,Initiated,Credit Suisse,Neutral,$41
Nov-28-18,Initiated,Susquehanna,Positive,$47
Dec-04-18,Reiterated,Imperial Capital,Outperform,$47 to $55
Jan-09-19,Reiterated,Imperial Capital,Outperform,$55 to $45
Jan-11-19,Reiterated,Imperial Capital,Outperform,$45 to $42
Jan-25-19,Reiterated,Imperial Capital,Outperform,$42 to $46
Feb-04-19,Initiated,Vertical Research,Hold,
