date,action,name,rate,target
Oct-26-18,Reiterated,Cowen,Market Perform,$70 to $60
Oct-26-18,Downgrade,Longbow,Buy to Neutral,
Oct-26-18,Downgrade,JP Morgan,Overweight to Neutral,
Oct-29-18,Downgrade,Loop Capital,Buy to Hold,
Nov-20-18,Downgrade,Susquehanna,Positive to Neutral,
Dec-06-18,Reiterated,Cowen,Market Perform,$60 to $50
Dec-06-18,Reiterated,BofA/Merrill,Buy,$75 to $68
Jan-14-19,Downgrade,Evercore ISI,In-line to Underperform,
Jan-25-19,Reiterated,Cowen,Market Perform,$38 to $44
Feb-22-19,Upgrade,Cascend Securities,Hold to Buy,$58
Mar-28-19,Resumed,RBC Capital Mkts,Outperform,$55
Apr-15-19,Upgrade,Longbow,Neutral to Buy,$65
Apr-16-19,Upgrade,Deutsche Bank,Hold to Buy,$45 to $60
Apr-24-19,Reiterated,BofA/Merrill,Buy,$55 to $60
Apr-26-19,Downgrade,Robert W. Baird,Neutral to Underperform,$50 to $40
Apr-30-19,Downgrade,Craig Hallum,Buy to Hold,$49
