date,action,name,rate,target
Oct-19-18,Reiterated,Piper Jaffray,Overweight,
Oct-22-18,Reiterated,Credit Suisse,Outperform,$2100 to $2400
Oct-26-18,Reiterated,Barclays,Overweight,$2100 to $1950
Oct-29-18,Reiterated,JMP Securities,Mkt Outperform,$2075 to $2050
Oct-30-18,Reiterated,Aegis Capital,Buy,$2063 to $2225
Jan-09-19,Reiterated,BofA/Merrill,Buy,$2000 to $2100
Jan-30-19,Reiterated,The Benchmark Company,Buy,$2100 to $2000
Mar-15-19,Upgrade,KeyBanc Capital Markets,Sector Weight to Overweight,$2100
Mar-20-19,Initiated,Evercore ISI,Outperform,$1965
Apr-01-19,Reiterated,Oppenheimer,Outperform,$1975 to $2085
Apr-08-19,Initiated,Societe Generale,Buy,$2370
May-29-19,Initiated,Pivotal Research Group,Buy,
