date,action,name,rate,target
Oct-29-18,Reiterated,Telsey Advisory Group,Outperform,$54 to $45
Nov-12-18,Initiated,Morgan Stanley,Equal-Weight,$33
Jan-09-19,Reiterated,BofA/Merrill,Buy,$40 to $35
Jan-18-19,Upgrade,UBS,Neutral to Buy,
Feb-01-19,Downgrade,BofA/Merrill,Buy to Underperform,
Feb-11-19,Downgrade,Gordon Haskett,Accumulate to Hold,
Feb-22-19,Reiterated,Telsey Advisory Group,Outperform,$40 to $44
Mar-05-19,Initiated,Robert W. Baird,Outperform,
Mar-20-19,Initiated,Evercore ISI,In-line,$42
Mar-21-19,Upgrade,Gordon Haskett,Hold to Accumulate,
Apr-05-19,Downgrade,Loop Capital,Buy to Hold,
Apr-08-19,Downgrade,Telsey Advisory Group,Outperform to Market Perform,$44
Apr-15-19,Downgrade,Longbow,Buy to Neutral,
Apr-23-19,Initiated,Stephens,Equal-Weight,$56
