date,action,name,rate,target
Oct-19-18,Initiated,Wedbush ,Outperform,$185
Nov-30-18,Reiterated,Stifel,Hold,$142 to $145
Nov-30-18,Reiterated,RBC Capital Mkts,Outperform,$180 to $200
Nov-30-18,Reiterated,Nomura,Reduce,$115 to $128
Nov-30-18,Reiterated,Maxim Group,Hold,$150 to $155
Nov-30-18,Reiterated,KeyBanc Capital Mkts,Overweight,$167 to $199
Nov-30-18,Reiterated,JP Morgan,Overweight,$165 to $194
Nov-30-18,Reiterated,Jefferies,Buy,$186 to $196
Jan-08-19,Resumed,Citigroup,Buy,$166
Jan-09-19,Resumed,Barclays,Overweight,$168
Jan-10-19,Resumed,BMO Capital Markets,Outperform,$175 to $170
Jan-15-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Feb-04-19,Resumed,Evercore ISI,In-line,$160
