date,title,source
Oct-25-18,"Suburban Propane Partners, L.P. Declares Quarterly Distribution of $0.60 per Common Unit",PR Newswire
Nov-01-18,"Suburban Propane Partners, L.P. to Hold Fiscal 2018 Full Year and Fourth Quarter Results Conference Call",PR Newswire
Nov-15-18,"Suburban Propane Partners, L.P. (SPH) Q4 2018 Earnings Conference Call Transcript",Motley Fool
Nov-15-18,"Suburban Propane Partners, L.P. Announces Full Year and Fourth Quarter Results",PR Newswire
Nov-21-18,"Suburban Propane Partners LP (SPH) Files 10-K for the Fiscal Year Ended on September 30, 2018",GuruFocus.com
Nov-21-18,"Suburban Propane Partners, L.P. Annual Report Available Online",PR Newswire
Nov-26-18,"Market Trends Toward New Normal in Suburban Propane Partners, Sanchez Midstream Partners LP, Imperial Oil, Pfenex, National Commerce, and Yuma Energy  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Dec-18-18,"Agway Energy Services, LLC, a Subsidiary of Suburban Propane, LP, Announces its Proud Sponsorship of Syracuse University Athletics",PR Newswire
Dec-20-18,5 Secret Santa ETFs & Stocks to Buy for Christmas,Zacks
Dec-26-18,Why Suburban Propane (SPH) Could Be a Top Value Stock Pick,Zacks
Jan-09-19,Oil Posts Longest Win Streak in One and a Half Years: 5 Picks,Zacks
Jan-10-19,"The Zacks Analyst Blog Highlights: Unit, Black Stone Minerals, Bonanza Creek Energy, Par Pacific and Suburban Propane Partners",Zacks
Jan-10-19,"Research Report Identifies Marriott International, Life Storage, Tribune Media, Suburban Propane Partners, Aspen Insurance, and Rambus with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Jan-24-19,"Suburban Propane Partners, L.P. to Hold Fiscal 2019 First Quarter Results Conference Call",PR Newswire
Jan-24-19,"Suburban Propane Partners, L.P. Declares Quarterly Distribution of $0.60 per Common Unit",PR Newswire
Feb-07-19,Suburban Propane Partners L P (SPH) Q1 2019 Earnings Conference Call Transcript,Motley Fool
Feb-07-19,"Suburban Propane Partners, L.P. Announces First Quarter Results",PR Newswire
Feb-08-19,Edited Transcript of SPH earnings conference call or presentation 7-Feb-19 2:00pm GMT,Thomson Reuters StreetEvents
Feb-08-19,Why Suburban Propane Partners Units Jumped 20% in January,Motley Fool
Feb-14-19,New Strong Sell Stocks for February 14th,Zacks
Feb-21-19,"Research Report Identifies Johnson & Johnson, Schlumberger, Karyopharm Therapeutics, WYNDHAM DESTINATIONS, INC, ASGN, and Suburban Propane Partners with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Apr-16-19,Better Buy: Tellurian vs. Suburban Propane Partners,Motley Fool
Apr-24-19,Edited Transcript of SPH earnings conference call or presentation 7-Feb-19 2:00pm GMT,Thomson Reuters StreetEvents
Apr-25-19,"Suburban Propane Partners, L.P. to Hold Fiscal 2019 Second Quarter Results Conference Call",PR Newswire
Apr-25-19,"Suburban Propane Partners, L.P. Declares Quarterly Distribution of $0.60 per Common Unit",PR Newswire
May-03-19,Is Suburban Propane Partners LP (SPH) A Good Stock To Buy?,Insider Monkey
May-09-19,Suburban Propane Partners L P (SPH) Q2 2019 Earnings Call Transcript,Motley Fool
May-09-19,"Suburban Propane Partners, L.P. Announces Second Quarter Results",PR Newswire
