date,action,name,rate,target
Nov-08-18,Downgrade,Argus,Buy to Hold,
Dec-04-18,Resumed,Guggenheim,Buy,$70
Feb-28-19,Reiterated,Needham,Buy,$70
May-07-19,Upgrade,Robert W. Baird,Neutral to Outperform,$56 to $62
