date,action,name,rate,target
Nov-02-18,Downgrade,Raymond James,Strong Buy to Outperform,
Nov-02-18,Downgrade,Desjardins,Buy to Hold,
Nov-02-18,Downgrade,BMO Capital Markets,Outperform to Market Perform,$18 to $12
Nov-05-18,Downgrade,Wolfe Research,Outperform to Peer Perform,
Nov-05-18,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Nov-05-18,Downgrade,BMO Capital Markets,Outperform to Market Perform,
Nov-28-18,Downgrade,Macquarie,Outperform to Neutral,
Nov-30-18,Initiated,Cowen,Market Perform,
Dec-06-18,Initiated,MKM Partners,Buy,$12
Jan-30-19,Initiated,Mizuho,Neutral,$8
Jan-31-19,Upgrade,CIBC,Sector Underperform to Neutral,
Mar-04-19,Upgrade,Macquarie,Neutral to Outperform,
Mar-05-19,Resumed,Goldman,Buy,$9
Mar-07-19,Resumed,Credit Suisse,Outperform,$10
Mar-18-19,Resumed,Citigroup,Buy,$13
Apr-29-19,Resumed,JP Morgan,Neutral,$12
