date,action,name,rate,target
Nov-19-18,Upgrade,Oppenheimer,Perform to Outperform,
Dec-12-18,Initiated,B. Riley FBR,Buy,$155
Jan-14-19,Upgrade,Laidlaw,Hold to Buy,$130
Jan-23-19,Initiated,UBS,Buy,$130
Jan-30-19,Upgrade,JMP Securities,Mkt Perform to Mkt Outperform,
Jan-31-19,Initiated,Credit Suisse,Outperform,$167
Feb-04-19,Upgrade,Raymond James,Outperform to Strong Buy,$184
Feb-15-19,Reiterated,BofA/Merrill,Underperform,$68 to $79
Feb-22-19,Downgrade,SVB Leerink,Mkt Perform to Underperform,$70
Mar-01-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,$130
May-03-19,Upgrade,Wells Fargo,Market Perform to Outperform,
