date,action,name,rate,target
Oct-23-18,Reiterated,Cowen,Market Perform,$20 to $18
Oct-24-18,Reiterated,Imperial Capital,Outperform,$26 to $24
Oct-30-18,Upgrade,JP Morgan,Neutral to Overweight,
Nov-12-18,Initiated,Goldman,Buy,$24
Nov-19-18,Initiated,Credit Suisse,Underperform,$16
Dec-04-18,Reiterated,Imperial Capital,Outperform,$24 to $27
Jan-09-19,Reiterated,Imperial Capital,Outperform,$27 to $25
Jan-10-19,Downgrade,JP Morgan,Overweight to Neutral,
Feb-04-19,Initiated,Vertical Research,Hold,$19
Mar-08-19,Reiterated,Imperial Capital,Outperform,$25 to $23
Mar-11-19,Downgrade,Barclays,Overweight to Equal Weight,$27 to $20
Apr-04-19,Reiterated,BofA/Merrill,Underperform,$19 to $16
