date,action,name,rate,target
Oct-18-18,Initiated,Robert W. Baird,Outperform,
Nov-01-18,Reiterated,BMO Capital Markets,Outperform,$47 to $43
Nov-09-18,Reiterated,Monness Crespi & Hardt,Buy,$48 to $45
Dec-07-18,Initiated,Wedbush ,Neutral,$40
Feb-12-19,Reiterated,Needham,Buy,$49 to $52
Feb-12-19,Reiterated,Monness Crespi & Hardt,Buy,$45 to $52
Feb-12-19,Reiterated,BMO Capital Markets,Outperform,$43 to $52
Apr-12-19,Initiated,BofA/Merrill,Buy,$60
May-06-19,Reiterated,Needham,Buy,$52 to $65
May-14-19,Reiterated,Imperial Capital,Outperform,$52 to $55
May-14-19,Reiterated,BMO Capital Markets,Outperform,$52 to $55
May-23-19,Initiated,Cowen,Outperform,$60
