date,action,name,rate,target
Nov-20-18,Initiated,Jefferies,Hold,$70
Nov-26-18,Upgrade,Goldman,Neutral to Buy,
Jan-25-19,Upgrade,Bernstein,Mkt Perform to Outperform,
Feb-07-19,Upgrade,BMO Capital Markets,Market Perform to Outperform,
Apr-16-19,Downgrade,Wells Fargo,Outperform to Market Perform,$82 to $75
Apr-29-19,Downgrade,Morgan Stanley,Equal-Weight to Underweight,$85 to $69
May-03-19,Downgrade,William Blair,Outperform to Mkt Perform,
May-03-19,Downgrade,Wedbush ,Outperform to Neutral,$80 to $70
May-03-19,Downgrade,Oppenheimer,Outperform to Perform,
May-03-19,Downgrade,Needham,Buy to Hold,
May-03-19,Downgrade,KeyBanc Capital Markets,Overweight to Sector Weight,
May-03-19,Downgrade,JP Morgan,Overweight to Neutral,$83 to $65
May-03-19,Downgrade,Goldman,Buy to Neutral,$84 to $64
May-03-19,Downgrade,Evercore ISI,Outperform to In-line,
May-06-19,Reiterated,BofA/Merrill,Underperform,$71 to $57
