date,action,name,rate,target
Nov-06-18,Upgrade,Citigroup,Neutral to Buy,
Nov-08-18,Reiterated,Piper Jaffray,Neutral,$94 to $92
Nov-08-18,Reiterated,Needham,Buy,$75 to $95
Nov-08-18,Reiterated,Mizuho,Buy,$90 to $95
Nov-08-18,Reiterated,Cantor Fitzgerald,Overweight,$76 to $91
Nov-08-18,Reiterated,Canaccord Genuity,Buy,$90 to $95
Nov-08-18,Downgrade,Susquehanna,Positive to Neutral,
Dec-19-18,Reiterated,Tigress Financial,Buy,
Jan-24-19,Reiterated,Nomura,Buy,$108 to $110
Jan-29-19,Downgrade,Raymond James,Mkt Perform to Underperform,
Feb-27-19,Reiterated,Canaccord Genuity,Buy,$88
Mar-27-19,Initiated,Macquarie,Outperform,$94
