date,action,name,rate,target
Jan-08-19,Downgrade,Societe Generale,Hold to Sell,
Jan-09-19,Upgrade,Evercore ISI,In-line to Outperform,
Jun-10-19,Upgrade,Citigroup,Neutral to Buy,
