date,action,name,rate,target
Jan-04-19,Upgrade,Goldman,Neutral to Buy,
Jan-07-19,Upgrade,Sandler O'Neill,Hold to Buy,
Feb-25-19,Upgrade,JP Morgan,Neutral to Overweight,$105 to $113
