date,action,name,rate,target
Oct-18-18,Upgrade,Oppenheimer,Perform to Outperform,
Jan-02-19,Reiterated,Barclays,Overweight,$61 to $64
Jan-08-19,Downgrade,Jefferies,Buy to Hold,
Jan-28-19,Downgrade,Robert W. Baird,Outperform to Neutral,
