date,action,name,rate,target
Oct-19-18,Downgrade,BMO Capital Markets,Outperform to Market Perform,$52 to $45
Oct-19-18,Downgrade,BMO Capital Markets,Outperform to Market Perform,
Apr-08-19,Downgrade,Wells Fargo,Outperform to Market Perform,$49 to $41
