date,action,name,rate,target
Oct-17-18,Initiated,Oppenheimer,Outperform,$80
Dec-06-18,Reiterated,Needham,Buy,$85 to $91
Dec-06-18,Reiterated,Monness Crespi & Hardt,Buy,$90 to $110
Dec-06-18,Reiterated,Canaccord Genuity,Buy,$78 to $95
Feb-28-19,Reiterated,Needham,Buy,$91 to $108
Mar-14-19,Reiterated,Needham,Buy,$108 to $130
Mar-14-19,Reiterated,Monness Crespi & Hardt,Buy,$110 to $150
Mar-14-19,Reiterated,Canaccord Genuity,Buy,$95 to $125
Mar-22-19,Initiated,William Blair,Outperform,
May-15-19,Reiterated,Barclays,Overweight,$143 to $178
Jun-04-19,Reiterated,Needham,Buy,$130 to $159
Jun-06-19,Reiterated,Needham,Buy,$159 to $165
Jun-06-19,Reiterated,Monness Crespi & Hardt,Buy,$150 to $185
Jun-06-19,Reiterated,Canaccord Genuity,Buy,$125 to $160
