date,action,name,rate,target
Nov-23-18,Upgrade,Argus,Hold to Buy,
Dec-13-18,Downgrade,JP Morgan,Overweight to Neutral,
Dec-19-18,Initiated,Stifel,Buy,$163
Jan-09-19,Initiated,Atlantic Equities,Overweight,$180
Jan-15-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Mar-01-19,Reiterated,Griffin Securities,Buy,$175 to $188
Mar-01-19,Reiterated,BofA/Merrill,Neutral,$149 to $169
Apr-10-19,Resumed,KeyBanc Capital Markets,Overweight,$196
Apr-12-19,Initiated,Mizuho,Buy,$200
May-24-19,Reiterated,Griffin Securities,Buy,$188 to $193
