date,action,name,rate,target
Oct-30-18,Downgrade,Wedbush ,Outperform to Neutral,$95 to $70
Nov-15-18,Downgrade,BofA/Merrill,Buy to Underperform,
Nov-16-18,Reiterated,Telsey Advisory Group,Market Perform,$83 to $65
