date,action,name,rate,target
Oct-29-18,Initiated,Deutsche Bank,Buy,$149
Jan-07-19,Upgrade,UBS,Sell to Neutral,
Jan-09-19,Upgrade,Buckingham Research,Neutral to Buy,
Jan-10-19,Upgrade,Needham,Hold to Buy,$122
Jan-31-19,Upgrade,Telsey Advisory Group,Market Perform to Outperform,$155
Feb-06-19,Reiterated,Needham,Buy,$122 to $138
Mar-18-19,Resumed,Citigroup,Neutral,$131
Mar-27-19,Upgrade,Wells Fargo,Market Perform to Outperform,$150
May-09-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,$135 to $145
May-15-19,Reiterated,Telsey Advisory Group,Outperform,$155
