date,action,name,rate,target
Nov-08-18,Resumed,JP Morgan,Overweight,
Nov-16-18,Resumed,Credit Suisse,Outperform,$300
Nov-28-18,Resumed,Wells Fargo,Market Perform,
Nov-28-18,Initiated,Morgan Stanley,Equal-Weight,$260
Dec-03-18,Upgrade,B. Riley FBR,Neutral to Buy,$250 to $300
Dec-07-18,Upgrade,Charter Equity,Mkt Perform to Buy,
Dec-07-18,Upgrade,Cascend Securities,Hold to Buy,
Dec-07-18,Reiterated,Craig Hallum,Buy,$300 to $305
Dec-07-18,Reiterated,Cowen,Outperform,$255 to $280
Dec-07-18,Reiterated,B. Riley FBR,Buy,$300 to $310
Feb-22-19,Downgrade,Cowen,Outperform to Market Perform,$280
Mar-15-19,Reiterated,BMO Capital Markets,Market Perform,$250 to $270
Jun-14-19,Reiterated,Craig Hallum,Buy,$325 to $315
Jun-14-19,Reiterated,Cowen,Market Perform,$280 to $265
Jun-14-19,Downgrade,Charter Equity,Buy to Mkt Perform,
