date,action,name,rate,target
Nov-08-18,Reiterated,BofA/Merrill,Buy,$151 to $156
Dec-18-18,Resumed,Buckingham Research,Buy,$130
Jan-11-19,Initiated,Stephens,Overweight,$138
Jan-16-19,Initiated,Gabelli & Co,Buy,$136
Jan-22-19,Initiated,Deutsche Bank,Buy,$130
Jan-30-19,Initiated,Goldman,Buy,$130
May-01-19,Upgrade,Cowen,Market Perform to Outperform,$103 to $113
