date,action,name,rate,target
Oct-24-18,Resumed,Wells Fargo,Market Perform,$154
Nov-16-18,Upgrade,Credit Suisse,Neutral to Outperform,
Dec-06-18,Initiated,MKM Partners,Buy,$133
Dec-07-18,Upgrade,JP Morgan,Neutral to Overweight,
Jan-04-19,Downgrade,BofA/Merrill,Buy to Neutral,
Jan-07-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,
Jan-31-19,Initiated,KeyBanc Capital Mkts,Sector Weight,
Mar-11-19,Upgrade,KeyBanc Capital Markets,Sector Weight to Overweight,
Apr-04-19,Upgrade,Tudor Pickering,Hold to Buy,
Apr-16-19,Downgrade,MKM Partners,Buy to Neutral,$109
May-06-19,Upgrade,Susquehanna,Neutral to Positive,$115
May-20-19,Initiated,Wells Fargo,Outperform,$110
