date,action,name,rate,target
Oct-18-18,Initiated,BofA/Merrill,Neutral,
Oct-18-18,Downgrade,Cleveland Research ,Buy to Neutral,
Dec-03-18,Downgrade,BofA/Merrill,Neutral to Underperform,
Dec-11-18,Downgrade,JP Morgan,Neutral to Underweight,
Dec-13-18,Downgrade,Raymond James,Strong Buy to Mkt Perform,
Dec-19-18,Downgrade,Credit Suisse,Outperform to Neutral,
Jan-07-19,Downgrade,Wells Fargo,Outperform to Market Perform,
Jan-10-19,Downgrade,Jefferies,Hold to Underperform,
Jan-16-19,Downgrade,CapitalOne,Overweight to Equal Weight,
Mar-11-19,Initiated,Goldman,Neutral,$5.50
Mar-15-19,Upgrade,Jefferies,Underperform to Hold,$3 to $4
Apr-25-19,Downgrade,Gabelli & Co,Buy to Hold,$8
May-20-19,Downgrade,Barclays,Equal Weight to Underweight,$5 to $2
Jun-04-19,Upgrade,JP Morgan,Underweight to Neutral,
