date,action,name,rate,target
Nov-13-18,Downgrade,Tudor Pickering,Buy to Hold,
Nov-15-18,Upgrade,Citigroup,Neutral to Buy,
Dec-07-18,Downgrade,Jefferies,Buy to Hold,
