date,action,name,rate,target
Nov-28-18,Reiterated,Needham,Buy,$71 to $76
Jan-16-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Mar-01-19,Reiterated,Needham,Buy,$76 to $63
Mar-01-19,Reiterated,Maxim Group,Buy,$72 to $62
Mar-01-19,Reiterated,BofA/Merrill,Buy,$63 to $51
Mar-01-19,Downgrade,Wells Fargo,Outperform to Market Perform,$70 to $45
Mar-01-19,Downgrade,Stifel,Buy to Hold,$55 to $39
Mar-04-19,Downgrade,Raymond James,Outperform to Mkt Perform,
Mar-11-19,Upgrade,Jefferies,Hold to Buy,$42
Mar-22-19,Reiterated,Maxim Group,Buy,$62 to $58
May-28-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
May-31-19,Reiterated,Needham,Buy,$63 to $46
May-31-19,Reiterated,BofA/Merrill,Buy,$51 to $41
May-31-19,Downgrade,Piper Jaffray,Overweight to Neutral,
