date,action,name,rate,target
Oct-25-18,Reiterated,Maxim Group,Hold,$67 to $72
Oct-25-18,Initiated,Loop Capital,Hold,
Jan-11-19,Upgrade,Goldman,Neutral to Buy,
Jan-23-19,Downgrade,Stifel,Buy to Hold,
Mar-20-19,Upgrade,Stephens,Equal-Weight to Overweight,$70
Apr-26-19,Initiated,UBS,Neutral,$65
Apr-30-19,Reiterated,Telsey Advisory Group,Market Perform,$65 to $58
Apr-30-19,Reiterated,Maxim Group,Hold,$66 to $60
May-07-19,Upgrade,Longbow,Neutral to Buy,$65
May-13-19,Upgrade,Robert W. Baird,Neutral to Outperform,$61 to $65
May-17-19,Upgrade,BTIG Research,Neutral to Buy,$64
Jun-04-19,Upgrade,Maxim Group,Hold to Buy,$60 to $63
Jun-12-19,Initiated,Evercore ISI,In-line,
