date,action,name,rate,target
Jan-10-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Jan-10-19,Initiated,Susquehanna,Positive,$388
Jan-31-19,Reiterated,Canaccord Genuity,Hold,$360 to $380
Feb-05-19,Reiterated,Bernstein,Outperform,$435 to $459
Feb-28-19,Reiterated,UBS,Buy,$500 to $525
Mar-12-19,Downgrade,Edward Jones,Buy to Hold,
Mar-19-19,Downgrade,Argus,Buy to Hold,
Mar-27-19,Resumed,Citigroup,Buy,
Apr-08-19,Downgrade,BofA/Merrill,Buy to Neutral,$480 to $420
May-07-19,Downgrade,Barclays,Overweight to Equal Weight,$417 to $367
