date,action,name,rate,target
Oct-18-18,Initiated,BofA/Merrill,Neutral,
Oct-25-18,Reiterated,BofA/Merrill,Neutral,$17 to $16
Oct-26-18,Reiterated,Cowen,Market Perform,$15 to $12
Dec-13-18,Downgrade,Raymond James,Outperform to Mkt Perform,
Jan-04-19,Downgrade,BofA/Merrill,Neutral to Underperform,
Jan-07-19,Downgrade,Wells Fargo,Market Perform to Underperform,
Jan-09-19,Downgrade,Citigroup,Neutral to Sell,
Jan-15-19,Downgrade,Barclays,Equal Weight to Underweight,$13 to $8
Jan-29-19,Upgrade,Seaport Global Securities,Neutral to Buy,$15
Mar-11-19,Initiated,Goldman,Sell,$10
