date,action,name,rate,target
Oct-23-18,Downgrade,Susquehanna,Positive to Neutral,
Nov-15-18,Reiterated,Morgan Stanley,Equal-Weight,$70 to $72
Nov-15-18,Reiterated,Maxim Group,Buy,$91 to $89
Nov-15-18,Reiterated,Citigroup,Neutral,$83 to $77
Dec-11-18,Initiated,Cowen,Underperform,$53
Jan-16-19,Downgrade,Morgan Stanley,Equal-Weight to Underweight,
Feb-14-19,Upgrade,Cross Research,Hold to Buy,
Feb-14-19,Downgrade,William Blair,Outperform to Mkt Perform,
Feb-14-19,Downgrade,JP Morgan,Overweight to Neutral,$75
Apr-11-19,Initiated,Credit Suisse,Outperform,$89
May-23-19,Downgrade,Lake Street,Buy to Hold,$69 to $65
