date,action,name,rate,target
Nov-09-18,Reiterated,Aegis Capital,Sell,$36 to $29
Nov-09-18,Downgrade,Wedbush ,Outperform to Neutral,$60 to $32
Nov-09-18,Downgrade,SunTrust,Buy to Hold,
Nov-09-18,Downgrade,Raymond James,Outperform to Mkt Perform,
Nov-09-18,Downgrade,JP Morgan,Overweight to Neutral,
Nov-09-18,Downgrade,Deutsche Bank,Buy to Hold,$64 to $34
Dec-20-18,Initiated,KeyBanc Capital Mkts,Sector Weight,
Jan-08-19,Initiated,Needham,Hold,
Jan-10-19,Downgrade,Morgan Stanley,Equal-Weight to Underweight,
Feb-04-19,Initiated,Goldman,Buy,$42
Feb-14-19,Downgrade,Citigroup,Buy to Neutral,$40
May-10-19,Downgrade,B. Riley FBR,Buy to Neutral,$50 to $42
