date,action,name,rate,target
Nov-19-18,Upgrade,Goldman,Sell to Neutral,
Jan-03-19,Downgrade,Guggenheim,Buy to Neutral,
Jan-17-19,Initiated,Leerink Partners,Mkt Perform,$21
May-10-19,Downgrade,Citigroup,Buy to Neutral,$24
May-10-19,Downgrade,Cantor Fitzgerald,Overweight to Neutral,$57 to $20
