date,action,name,rate,target
Oct-18-18,Resumed,Robert W. Baird,Outperform,
Oct-19-18,Initiated,Wedbush ,Outperform,$48
Jan-11-19,Initiated,Piper Jaffray,Overweight,$50
Jan-15-19,Downgrade,Morgan Stanley,Equal-Weight to Underweight,
Mar-01-19,Reiterated,Needham,Strong Buy,
Apr-02-19,Reiterated,BofA/Merrill,Neutral,$62 to $74
Apr-09-19,Reiterated,Credit Suisse,Outperform,$55 to $75
May-23-19,Initiated,Cowen,Outperform,$85
May-31-19,Reiterated,Needham,Strong Buy,$65 to $89
May-31-19,Initiated,Berenberg,Hold,
