date,action,name,rate,target
Nov-15-18,Reiterated,Cowen,Outperform,$38 to $43
Dec-12-18,Downgrade,JP Morgan,Overweight to Neutral,
Mar-26-19,Initiated,Berenberg,Hold,$30
Mar-29-19,Upgrade,Credit Suisse,Underperform to Neutral,
Apr-18-19,Reiterated,BofA/Merrill,Buy,$38 to $34
May-02-19,Downgrade,BofA/Merrill,Buy to Neutral,
May-08-19,Upgrade,JP Morgan,Neutral to Overweight,$33 to $27
May-08-19,Upgrade,Credit Suisse,Neutral to Outperform,$30 to $28
May-14-19,Reiterated,Cowen,Outperform,$42 to $33
Jun-05-19,Upgrade,Standpoint Research,Hold to Buy,
Jun-17-19,Upgrade,BofA/Merrill,Neutral to Buy,$30
