date,action,name,rate,target
Dec-26-18,Initiated,Standpoint Research,Buy,
Jan-23-19,Initiated,Guggenheim,Neutral,
Feb-05-19,Downgrade,Deutsche Bank,Buy to Hold,$58 to $52
Feb-22-19,Downgrade,UBS,Buy to Neutral,$55 to $39
Feb-22-19,Downgrade,Stifel,Buy to Hold,$35
Feb-22-19,Downgrade,Piper Jaffray,Overweight to Neutral,$62 to $42
Feb-22-19,Downgrade,JP Morgan,Overweight to Neutral,$52 to $37
Feb-22-19,Downgrade,BofA/Merrill,Buy to Neutral,
Feb-22-19,Downgrade,Berenberg,Buy to Hold,
Feb-26-19,Downgrade,Argus,Buy to Hold,
Mar-04-19,Upgrade,Morgan Stanley,Underweight to Equal-Weight,$35
Mar-29-19,Downgrade,Wolfe Research,Peer Perform to Underperform,$27
Apr-24-19,Downgrade,Piper Jaffray,Neutral to Underweight,$35 to $31
May-30-19,Reiterated,Credit Suisse,Underperform,$33 to $26
May-31-19,Upgrade,Piper Jaffray,Underweight to Neutral,
Jun-12-19,Initiated,Evercore ISI,In-line,
