date,title,source
Oct-31-18,Ramco-Gershenson Properties (RPT) Q3 FFO Meet Estimates,Zacks
Oct-31-18,Ramco-Gershenson Properties: 3Q Earnings Snapshot,Associated Press
Oct-31-18,RPT Reports Third Quarter 2018 Results,GlobeNewswire
Oct-31-18,RAMCO Properties Announces Name Change to RPT Realty,GlobeNewswire
Nov-01-18,Edited Transcript of RPT earnings conference call or presentation 1-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Edited Transcript of RPT earnings conference call or presentation 1-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-05-18,Edited Transcript of RPT earnings conference call or presentation 1-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-06-18,Edited Transcript of RPT earnings conference call or presentation 1-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-07-18,Edited Transcript of RPT earnings conference call or presentation 1-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-30-18,"Opening Bell, November 30, 2018",CNBC Videos
Nov-30-18,"Today's Bell Ringer, November 30, 2018",CNBC Videos
Dec-04-18,RPT Realty Announces the Appointment of Richard Federico to its Board of Trustees,GlobeNewswire
Jan-03-19,RPT Realty Completes $123.0 Million of Dispositions in 2018,GlobeNewswire
Jan-24-19,"With A 5.1% Return On Equity, Is RPT Realty (NYSE:RPT) A Quality Stock?",Simply Wall St.
Jan-30-19,RPT Realty Announces Tax Reporting Information for Its 2018 Dividend Distributions,GlobeNewswire
Feb-20-19,RPT Realty (RPT) Surpasses Q4 FFO and Revenue Estimates,Zacks
Feb-20-19,RPT Realty Reports Fourth Quarter and Full Year 2018 Results,GlobeNewswire
Feb-21-19,Ramco-Gershenson Properties Trust (RPT) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Feb-27-19,RPT Realty to Present at the Citi 2019 Global Property CEO Conference,GlobeNewswire
Feb-28-19,RPT Realty Announces First Quarter 2019 Earnings Release Date and Conference Call Information,GlobeNewswire
Mar-01-19,Edited Transcript of RPT earnings conference call or presentation 21-Feb-19 3:00pm GMT,Thomson Reuters StreetEvents
