date,action,name,rate,target
Oct-26-18,Initiated,Goldman,Buy,$36
Nov-08-18,Upgrade,KeyBanc Capital Mkts,Underweight to Sector Weight,
Nov-12-18,Upgrade,Wells Fargo,Market Perform to Outperform,
