date,action,name,rate,target
Nov-28-18,Initiated,Boenning & Scattergood,Outperform,
Dec-14-18,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,
Jan-08-19,Upgrade,Raymond James,Mkt Perform to Outperform,
