date,action,name,rate,target
Nov-09-18,Reiterated,Wedbush ,Outperform,$100 to $81
Nov-09-18,Reiterated,UBS,Buy,$88 to $70
Nov-09-18,Reiterated,Piper Jaffray,Overweight,$74
Nov-09-18,Reiterated,Oppenheimer,Outperform,$87 to $68
Nov-09-18,Reiterated,KeyBanc Capital Mkts,Overweight,$85 to $80
Nov-09-18,Reiterated,Credit Suisse,Outperform,$85 to $79
Nov-09-18,Reiterated,BofA/Merrill,Neutral,$77 to $68
Nov-09-18,Reiterated,Bernstein,Mkt Perform,$72 to $62
Dec-14-18,Reiterated,Needham,Buy,$90 to $60
Jan-11-19,Reiterated,The Benchmark Company,Buy,$93 to $87
Jan-11-19,Initiated,Stephens,Overweight,$65
Jan-22-19,Initiated,Deutsche Bank,Hold,$54
Jan-30-19,Initiated,Goldman,Neutral,$50
Feb-11-19,Reiterated,The Benchmark Company,Buy,$87 to $68
