date,action,name,rate,target
Oct-17-18,Upgrade,Deutsche Bank,Hold to Buy,$53 to $60
Nov-12-18,Initiated,Goldman,Neutral,$64
Nov-19-18,Initiated,Credit Suisse,Outperform,$71
Nov-28-18,Initiated,Susquehanna,Positive,$69
Dec-04-18,Reiterated,Imperial Capital,Outperform,$76 to $83
Dec-14-18,Reiterated,Imperial Capital,Outperform,$81 to $77
Dec-14-18,Reiterated,Cowen,Outperform,$67
Jan-09-19,Downgrade,Imperial Capital,Outperform to In-line,$77 to $53
Jan-14-19,Downgrade,BofA/Merrill,Buy to Neutral,
Feb-04-19,Initiated,Vertical Research,Hold,
Apr-02-19,Reiterated,Cowen,Outperform,$62 to $67
Apr-03-19,Reiterated,Imperial Capital,In-line,$53 to $58
Apr-04-19,Reiterated,BofA/Merrill,Neutral,$55 to $59
