date,action,name,rate,target
Nov-02-18,Upgrade,UBS,Neutral to Buy,
Nov-02-18,Upgrade,Piper Jaffray,Neutral to Overweight,
Nov-08-18,Reiterated,Needham,Buy,$75 to $67
Nov-08-18,Reiterated,Canaccord Genuity,Buy,$90 to $80
Nov-09-18,Downgrade,Credit Suisse,Outperform to Neutral,
