date,action,name,rate,target
Oct-18-18,Initiated,Robert W. Baird,Neutral,
Nov-29-18,Initiated,Berenberg,Buy,$73
Dec-11-18,Initiated,Guggenheim,Buy,$79
Jan-11-19,Initiated,Piper Jaffray,Overweight,$80
Feb-04-19,Initiated,Morgan Stanley,Equal-Weight,$85
Feb-04-19,Downgrade,KeyBanc Capital Mkts,Overweight to Sector Weight,
Mar-04-19,Downgrade,SunTrust,Buy to Hold,
Mar-06-19,Reiterated,Monness Crespi & Hardt,Buy,$75 to $90
Mar-08-19,Reiterated,Needham,Buy,$75 to $96
Mar-08-19,Reiterated,Canaccord Genuity,Buy,$75 to $85
Mar-18-19,Upgrade,Goldman,Neutral to Buy,$80 to $94
Mar-27-19,Initiated,Mizuho,Neutral,
Apr-03-19,Reiterated,Monness Crespi & Hardt,Buy,$90 to $95
Apr-04-19,Reiterated,Needham,Buy,$96 to $105
