date,action,name,rate,target
Nov-19-18,Reiterated,MoffettNathanson,Sell,$16
Jan-24-19,Downgrade,Guggenheim,Neutral to Sell,
Feb-05-19,Downgrade,Citigroup,Neutral to Sell,
Feb-14-19,Downgrade,UBS,Buy to Neutral,$24 to $14
Feb-14-19,Downgrade,JP Morgan,Overweight to Neutral,$14
Feb-19-19,Upgrade,MoffettNathanson,Sell to Neutral,
Feb-20-19,Downgrade,RBC Capital Mkts,Outperform to Sector Perform,$24 to $15
Feb-26-19,Downgrade,BofA/Merrill,Buy to Neutral,$14
May-09-19,Upgrade,Citigroup,Sell to Neutral,
May-23-19,Upgrade,Guggenheim,Sell to Neutral,$10
