date,action,name,rate,target
Nov-12-18,Initiated,Goldman,Sell,$28
Dec-04-18,Reiterated,Imperial Capital,Outperform,$57 to $59
Dec-06-18,Reiterated,Cowen,Market Perform,$38 to $37
Dec-11-18,Reiterated,Imperial Capital,Outperform,$59 to $49
Dec-12-18,Reiterated,Cowen,Market Perform,$37 to $32
Jan-09-19,Reiterated,Imperial Capital,Outperform,$49 to $40
Jan-10-19,Reiterated,Cowen,Market Perform,$32 to $30
Jan-15-19,Reiterated,Imperial Capital,Outperform,$40 to $44
Jan-30-19,Reiterated,Cowen,Market Perform,$30 to $32
Feb-22-19,Downgrade,Macquarie,Outperform to Neutral,
Mar-04-19,Downgrade,Deutsche Bank,Hold to Sell,$33 to $27
Mar-28-19,Reiterated,Imperial Capital,Outperform,$40 to $36
