date,action,name,rate,target
Oct-18-18,Initiated,BofA/Merrill,Underperform,
Nov-19-18,Upgrade,SunTrust,Sell to Buy,
Nov-19-18,Upgrade,Credit Suisse,Underperform to Neutral,
Nov-19-18,Upgrade,Citigroup,Neutral to Buy,
Dec-03-18,Upgrade,BofA/Merrill,Underperform to Neutral,
Dec-07-18,Upgrade,Seaport Global Securities,Sell to Neutral,$61 to $64
Dec-11-18,Upgrade,Wells Fargo,Market Perform to Outperform,
Jan-15-19,Upgrade,JP Morgan,Neutral to Overweight,
Jan-31-19,Upgrade,BofA/Merrill,Neutral to Buy,
Mar-11-19,Initiated,Goldman,Neutral,$65
Mar-15-19,Downgrade,Jefferies,Buy to Hold,$64 to $56
