date,action,name,rate,target
Oct-23-18,Downgrade,Susquehanna,Positive to Neutral,
Oct-29-18,Downgrade,B. Riley FBR,Buy to Neutral,$63 to $36
Nov-20-18,Reiterated,Imperial Capital,Outperform,$62 to $47
Nov-20-18,Reiterated,Cowen,Outperform,$62 to $47
Dec-21-18,Initiated,Needham,Buy,$45
Jan-29-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,
May-15-19,Upgrade,Susquehanna,Neutral to Positive,$34 to $60
May-17-19,Upgrade,B. Riley FBR,Neutral to Buy,$46 to $54
May-17-19,Reiterated,Cowen,Outperform,$47 to $53
May-17-19,Reiterated,BofA/Merrill,Neutral,$45 to $52
Jun-07-19,Initiated,Nomura,Neutral,$40
Jun-20-19,Resumed,Wells Fargo,Outperform,
