date,action,name,rate,target
Nov-01-18,Downgrade,Longbow,Buy to Neutral,
Dec-06-18,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Dec-18-18,Downgrade,Daiwa Securities,Outperform to Neutral,
Dec-27-18,Downgrade,Evercore ISI,In-line to Underperform,
Jan-04-19,Downgrade,Robert W. Baird,Neutral to Underperform,
Jan-07-19,Downgrade,BMO Capital Markets,Outperform to Market Perform,
Jan-10-19,Upgrade,UBS,Neutral to Buy,
Jan-17-19,Initiated,Mizuho,Neutral,$80
Feb-19-19,Upgrade,Berenberg,Hold to Buy,
Apr-05-19,Downgrade,RBC Capital Mkts,Sector Perform to Underperform,
Apr-22-19,Downgrade,KeyBanc Capital Markets,Overweight to Sector Weight,
